,S&P500 ,S&P500 월간수익률,미국채10년 변화율,S&P500 VIX 변화율,신용거래 변화율,MOVE Index 변화율,실업률 변화율,기대인플레이션 10년 변화율,금가격 변화율
2010-12-31,1257.64 ,6.53%,0.49 ,-24.60%,1.40%,8.34%,-0.50,0.17 ,2.54%
2010-11-30,1180.55 ,-0.23%,0.20 ,11.04%,1.95%,2.10%,0.40,-0.04 ,1.97%
2010-10-29,1183.26 ,3.69%,0.10 ,-10.55%,5.16%,17.27%,-0.10,0.33 ,3.89%
2010-09-30,1141.20 ,8.76%,-0.01 ,-9.02%,7.52%,-17.94%,0.00,0.27 ,4.90%
2010-08-31,1049.33 ,-4.74%,-0.40 ,10.85%,0.34%,32.61%,0.10,-0.22 ,5.62%
2010-07-30,1101.60 ,6.88%,0.00 ,-31.96%,1.62%,-12.82%,0.00,-0.08 ,-4.94%
2010-06-30,1030.71 ,-5.39%,-0.39 ,7.70%,-2.00%,-19.98%,-0.20,-0.20 ,2.14%
2010-05-28,1089.41 ,-8.20%,-0.36 ,45.44%,-9.13%,31.11%,-0.30,-0.35 ,3.16%
2010-04-30,1186.69 ,1.48%,-0.17 ,25.36%,6.39%,0.23%,0.00,0.14 ,5.91%
2010-03-31,1169.43 ,5.88%,0.21 ,-9.79%,5.36%,5.05%,0.10,0.10 ,-0.39%
2010-02-26,1104.49 ,2.85%,0.03 ,-20.80%,-1.05%,-5.91%,0.00,-0.16 ,3.37%
2010-01-29,1073.87 ,-3.70%,-0.25 ,13.56%,1.55%,-19.72%,-0.10,-0.09 ,-1.44%
2009-12-31,1115.10 ,1.78%,0.64 ,-11.55%,4.55%,24.85%,0.00,0.29 ,-7.01%
2009-11-30,1095.63 ,5.74%,-0.18 ,-20.14%,-5.43%,-24.14%,-0.10,0.10 ,12.83%
2009-10-30,1036.20 ,-1.98%,0.07 ,19.84%,4.45%,-0.26%,0.20,0.24 ,3.75%
2009-09-30,1057.08 ,3.57%,-0.09 ,-1.54%,7.56%,-12.93%,0.20,0.12 ,5.94%
2009-08-31,1020.63 ,3.36%,-0.08 ,0.35%,3.29%,-5.63%,0.10,-0.12 ,-0.29%
2009-07-31,987.48 ,7.41%,-0.05 ,-1.63%,5.34%,-14.77%,0.00,0.01 ,2.97%
2009-06-30,919.32 ,0.02%,0.07 ,-8.89%,1.28%,-1.75%,0.10,-0.07 ,-5.38%
2009-05-29,919.14 ,5.31%,0.33 ,-20.77%,3.07%,33.17%,0.40,0.37 ,10.24%
2009-04-30,872.81 ,9.39%,0.45 ,-17.31%,1.98%,5.88%,0.30,0.16 ,-3.39%
2009-03-31,797.87 ,8.54%,-0.34 ,-4.77%,2.16%,-29.59%,0.40,0.32 ,-2.44%
2009-02-27,735.09 ,-10.99%,0.16 ,3.37%,-2.61%,2.27%,0.50,-0.10 ,1.56%
2009-01-30,825.88 ,-8.57%,0.62 ,12.10%,-2.46%,-14.26%,0.50,1.01 ,5.19%
2008-12-31,903.25 ,0.78%,-0.69 ,-27.64%,-7.54%,-11.21%,0.50,-0.27 ,7.82%
2008-11-28,896.24 ,-7.48%,-1.04 ,-7.70%,-18.10%,3.28%,0.30,-0.55 ,13.01%
2008-10-31,968.75 ,-16.94%,0.14 ,52.04%,-19.72%,-0.62%,0.40,-0.68 ,-16.89%
2008-09-30,1166.36 ,-9.08%,0.00 ,90.75%,6.44%,102.43%,0.00,-0.56 ,4.79%
2008-08-29,1282.83 ,1.22%,-0.13 ,-9.98%,-5.38%,-21.79%,0.30,-0.16 ,-9.07%
2008-07-31,1267.38 ,-0.99%,-0.02 ,-4.22%,-1.04%,4.52%,0.20,-0.24 ,-1.22%
2008-06-30,1280.00 ,-8.60%,-0.10 ,34.32%,1.55%,-3.23%,0.20,0.02 ,4.39%
2008-05-30,1400.38 ,1.07%,0.33 ,-14.24%,2.80%,9.32%,0.40,0.25 ,1.02%
2008-04-30,1385.59 ,4.75%,0.32 ,-18.82%,-4.90%,-18.14%,-0.10,-0.04 ,-4.29%
2008-03-31,1322.70 ,-0.60%,-0.10 ,-3.50%,-7.34%,-6.25%,0.20,-0.12 ,-5.85%
2008-02-29,1330.63 ,-3.48%,-0.09 ,1.30%,3.14%,0.98%,-0.10,0.12 ,5.16%
2008-01-31,1378.55 ,-6.12%,-0.42 ,16.44%,2.90%,5.71%,0.00,-0.01 ,11.08%
2007-12-31,1468.36 ,-0.86%,0.08 ,-1.62%,-6.40%,10.57%,0.30,-0.03 ,6.40%
2007-11-30,1481.14 ,-4.40%,-0.53 ,23.42%,0.69%,45.82%,0.00,0.01 ,-1.66%
2007-10-31,1549.38 ,1.48%,-0.12 ,2.94%,4.98%,-13.04%,0.00,0.04 ,7.15%
2007-09-28,1526.75 ,3.58%,0.06 ,-23.01%,-0.93%,-6.58%,0.10,0.04 ,10.44%
2007-08-31,1473.99 ,1.29%,-0.21 ,-0.60%,-12.95%,15.15%,-0.10,-0.12 ,1.35%
