날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
2011-09-30,614.52832,511.0242,109.345,196.987,3804.95,886.89001
2011-08-31,658.94562,553.37769,118.62,207.161,3901.84,938.02002
2011-07-29,693.27643,591.66779,126.898,214.613,3909.37,951.90997
2011-06-30,698.02148,614.38849,128.964,217.138,4011.61,988.97998
2011-05-31,707.83917,628.75348,129.637,217.098,4075.68,997.71002
2011-04-29,712.33569,642.1853,132.23,215.851,4010.11,995.03003
2011-03-31,689.70782,627.06818,129.017,204.892,3862.87,961.54999
2011-02-28,688.65863,629.37988,126.856,204.797,3827.17,954.15997
2011-01-31,668.66357,608.64099,121.771,198.142,3739.41,921.48999
2010-12-31,659.13428,590.22479,119.801,196.879,3758.77,924.63
2010-11-30,627.13751,546.32562,114.539,189.11,3598.27,876.47998
2010-10-29,625.49408,550.37158,112.568,188.998,3662.14,879.46997
2010-09-30,596.17139,537.25293,107.497,181.73,3582.79,864.32001
2010-08-31,542.06079,499.564,96.428,166.419,3407.36,793.59003
2010-07-30,567.85492,525.54199,102.497,173.243,3438.75,813.39001
2010-06-30,531.54041,491.51889,94.744,164.486,3281.67,756.54999
2010-05-31,558.66309,522.3927,102.245,171.557,3335.83,791.59003
2010-04-30,608.70862,568.89838,111.221,185.825,3529.67,847.56
2010-03-31,601.57172,559.05872,108.818,184.526,3508.74,829.91998
2010-02-26,569.86023,526.46802,101.803,173.805,3388.55,787.35999
2010-01-29,551.93182,513.83362,96.936,168.607,3337.93,766.23999
2009-12-31,582.37,525.07312,101.228,172.456,3423.49,774.71997
2009-11-30,570.82959,517.01538,97.192,168.925,3327.43,766.60999
2009-10-30,540.90503,487.90189,91.799,159.44,3148.47,725.51001
2009-09-30,542.64319,507.0737,93.318,161.935,3171.11,733.62
2009-08-31,520.91168,492.6759,91.757,156.501,3096.46,705.12
2009-07-31,512.09003,468.36911,91.333,152.019,3044.24,677.62
2009-06-30,479.82431,432.8851,86.949,143.984,2926.89,614.97998
2009-05-29,476.45929,436.17389,85.861,142.064,2854.38,619.34998
2009-04-30,455.26721,411.21179,82.693,136.481,2779.48,598.14001
2009-03-31,420.66241,371.23611,82.176,126.021,2673.74,533.16998
2009-02-27,390.5759,338.88849,77.148,115.234,2565.68,484.12
2009-01-30,428.20691,391.81769,83.953,125.709,2871.06,544.02002
2008-12-31,450.54501,447.10669,86.842,133.27,2963.63,612.15002
2008-11-28,446.01169,444.7937,86.282,130.989,2922.5,614.03003
2008-10-31,473.53519,490.64081,92.254,139.878,3035.12,636
2008-09-30,567.75043,593.47949,107.301,167.119,3488.89,732.63
2008-08-29,632.47101,643.37341,121.196,182.129,3648.9,748.17999
2008-07-31,623.98828,636.60962,120.873,177.251,3544.23,725.64001
2008-06-30,641.84021,629.52869,130.268,178.886,3449.94,698.60999
2008-05-30,682.79901,711.11133,135.253,194.162,3696.56,777.08002
2008-04-30,668.07172,712.25232,129.821,191.732,3629.17,771.78998
2008-03-31,630.95062,687.77417,121.101,182.311,3564.6,746.82001
2008-02-29,633.97229,692.73743,117.998,185.658,3573.79,743.70001
2008-01-31,643.45178,732.9693,119.836,189.234,3677.19,771.58002
2007-12-31,702.66302,760.9519,133.318,203.412,3879.39,783.60999
2007-11-30,702.25378,774.93738,131.466,201.416,3929.24,808.07001
2007-10-31,729.1604,816.74011,138.61,209.167,4011.99,824.12
2007-09-28,714.30341,809.5365,133.343,202.982,4009.59,830.22998
2007-08-31,684.89038,786.8092,126.837,194.461,3929.62,820.37
2007-07-31,674.95831,778.20551,124.12,192.815,3841.24,809.19
2007-06-29,690.66089,811.2373,128.507,195.283,4040.61,846.26001
2007-05-31,699.96289,829.51691,132.093,197.182,4173.6,866.72998
2007-04-30,679.87781,801.18542,128.728,189.399,4117.54,841.21002
2007-03-30,649.81042,769.99042,124.566,179.376,4005.84,811.20001
2007-02-28,644.45947,761.18701,122.663,176.959,3991.54,807.90997
2007-01-31,660.39532,776.47052,125.569,180.305,3999.6,815.09998
2006-12-29,652.54529,764.25201,121.998,176.953,3965,800.14001
2006-11-30,650.81128,747.55261,121.011,176.875,3884.07,787.12
2006-10-31,639.32013,736.50537,119.542,171.861,3856.45,785.72998
2006-09-29,619.96417,713.80872,115.291,164.448,3757.73,760.54999
2006-08-31,605.50702,696.23749,115.022,161.735,3689.92,744.34998
2006-07-31,587.64722,687.68988,114.543,156.639,3621.48,728.27002
2006-06-30,586.68109,681.93213,114.765,156.296,3549.69,723.14001
2006-05-31,587.72021,680.63287,114.512,155.028,3542.58,719.53998
2006-04-28,609.13239,699.32648,119.542,159.978,3578.22,731.54999
2006-03-31,609.94623,681.65863,117.685,158.211,3510.36,714.95001
2006-02-28,605.78821,671.35242,115.357,154.471,3496.36,706.81
2006-01-31,610.07727,665.88599,117.476,155.663,3423.84,694.09003
2005-12-30,596.51868,647.55078,111.748,151.305,3403.82,682.13
2005-11-30,598.33661,646.80042,110.014,152.195,3404.14,679.51001
2005-10-31,577.40118,625.427,106.699,147.208,3345.06,659.26001
2005-09-30,587.07538,637.50092,110.194,150.196,3410,655.84003
2005-08-31,584.3811,631.64893,105.934,149.272,3419.07,658.84003
