,S&P500,,,S&P500 Growth,,,S&P500 Value,,,S&P500 Momentum,,,S&P500 Quality,,,S&P500 Low Volatiltiy Index,,,S&P500 Div Aristocrt TR Index
티커,SPX Index,,,SGX Index,,,SVX Index,,,SP500MUN Index,,,SPXQUN Index,,,SP5LVI Index,,,SPDAUDT Index
,,,,,,,,,,,,,,,,,,,
Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가
1977-12-30,95.1,,,,,,,,,,,,,,1977-12-30,239.95,,,
1977-11-30,94.83,,,,,,,,,,,,,,1977-11-30,240.64,,,
1977-10-31,92.34,,,,,,,,,,,,,,1977-10-31,234.62,,,
1977-09-30,96.53,,,,,,,,,,,,,,1977-09-30,244.76,,,
1977-08-31,96.77,,,,,,,,,,,,,,1977-08-31,243.81,,,
1977-07-29,98.85,,,,,,,,,,,,,,1977-07-29,250.25,,,
1977-06-30,100.48,,,,,,,,,,,,,,1977-06-30,251.67,,,
1977-05-31,96.12,,,,,,,,,,,,,,1977-05-31,243.75,,,
1977-04-29,98.44,,,,,,,,,,,,,,1977-04-29,246.19,,,
1977-03-31,98.42,,,,,,,,,,,,,,1977-03-31,243.63,,,
1977-02-28,99.82,,,,,,,,,,,,,,1977-02-28,244.9,,,
1977-01-31,102.03,,,,,,,,,,,,,,1977-01-31,249.96,,,
1976-12-31,107.46,,,,,,,,,,,,,,1976-12-31,256.93,,,
1976-11-30,102.1,,,,,,,,,,,,,,1976-11-30,243.53,,,
1976-10-29,102.9,,,,,,,,,,,,,,1976-10-29,241.7,,,
1976-09-30,105.24,,,,,,,,,,,,,,1976-09-30,245,,,
1976-08-31,102.91,,,,,,,,,,,,,,1976-08-31,238.73,,,
1976-07-30,103.44,,,,,,,,,,,,,,1976-07-30,238.01,,,
1976-06-30,104.28,,,,,,,,,,,,,,1976-06-30,237.66,,,
1976-05-31,100.18,,,,,,,,,,,,,,1976-05-31,231.06,,,
1976-04-30,101.64,,,,,,,,,,,,,,1976-04-30,234.36,,,
1976-03-31,102.77,,,,,,,,,,,,,,1976-03-31,234.05,,,
1976-02-27,99.71,,,,,,,,,,,,,,1976-02-27,231.42,,,
1976-01-30,100.86,,,,,,,,,,,,,,1976-01-30,233.46,,,
1975-12-31,90.19,,,,,,,,,,,,,,1975-12-31,211.33,,,
1975-11-28,91.24,,,,,,,,,,,,,,1975-11-28,211.21,,,
1975-10-31,89.04,,,,,,,,,,,,,,1975-10-31,205.83,,,
1975-09-30,83.87,,,,,,,,,,,,,,1975-09-30,196.57,,,
1975-08-29,86.88,,,,,,,,,,,,,,1975-08-29,201.29,,,
1975-07-31,88.75,,,,,,,,,,,,,,1975-07-31,204.09,,,
1975-06-30,95.19,,,,,,,,,,,,,,1975-06-30,212.6,,,
1975-05-30,91.15,,,,,,,,,,,,,,1975-05-30,202.64,,,
1975-04-30,87.3,,,,,,,,,,,,,,1975-04-30,195.87,,,
1975-03-31,83.36,,,,,,,,,,,,,,1975-03-31,191.38,,,
1975-02-28,81.59,,,,,,,,,,,,,,1975-02-28,188.86,,,
1975-01-31,76.98,,,,,,,,,,,,,,1975-01-31,186.25,,,
1974-12-31,68.56,,,,,,,,,,,,,,1974-12-31,160,,,
1974-11-29,69.97,,,,,,,,,,,,,,1974-11-29,162,,,
1974-10-31,73.9,,,,,,,,,,,,,,1974-10-31,168.49,,,
1974-09-30,63.54,,,,,,,,,,,,,,1974-09-30,149.57,,,
1974-08-30,72.15,,,,,,,,,,,,,,1974-08-30,159.05,,,
1974-07-31,79.31,,,,,,,,,,,,,,1974-07-31,174.63,,,
1974-06-28,86,,,,,,,,,,,,,,1974-06-28,182.22,,,
1974-05-31,87.28,,,,,,,,,,,,,,1974-05-31,187.56,,,
1974-04-30,90.31,,,,,,,,,,,,,,1974-04-30,198.21,,,
1974-03-29,93.98,,,,,,,,,,,,,,1974-03-29,215.97,,,
1974-02-28,96.22,,,,,,,,,,,,,,1974-02-28,222.85,,,
1974-01-31,96.57,,,,,,,,,,,,,,1974-01-31,221.04,,,
1973-12-31,97.55,,,,,,,,,,,,,,1973-12-31,216.07,,,
1973-11-30,95.96,,,,,,,,,,,,,,1973-11-30,210.74,,,
1973-10-31,108.29,,,,,,,,,,,,,,1973-10-31,237.15,,,
1973-09-28,108.43,,,,,,,,,,,,,,1973-09-28,242.12,,,
1973-08-31,104.25,,,,,,,,,,,,,,1973-08-31,228.58,,,
1973-07-31,108.22,,,,,,,,,,,,,,1973-07-31,235.6,,,
1973-06-29,104.26,,,,,,,,,,,,,,1973-06-29,234.32,,,
1973-05-31,104.95,,,,,,,,,,,,,,1973-05-31,240.19,,,
1973-04-30,106.97,,,,,,,,,,,,,,1973-04-30,245.78,,,
1973-03-30,111.52,,,,,,,,,,,,,,1973-03-30,250.86,,,
1973-02-28,111.68,,,,,,,,,,,,,,1973-02-28,255.19,,,
1973-01-31,116.03,,,,,,,,,,,,,,1973-01-31,263.52,,,
1972-12-29,118.05,,,,,,,,,,,,,,1972-12-29,268.17,,,
1972-11-30,116.67,,,,,,,,,,,,,,1972-11-30,270.73,,,
1972-10-31,111.58,,,,,,,,,,,,,,1972-10-31,257.4,,,
1972-09-29,110.55,,,,,,,,,,,,,,1972-09-29,250.76,,,
1972-08-31,111.09,,,,,,,,,,,,,,1972-08-31,252.41,,,
1972-07-31,107.39,,,,,,,,,,,,,,1972-07-31,243.87,,,
1972-06-30,107.14,,,,,,,,,,,,,,1972-06-30,245.11,,,
1972-05-31,109.53,,,,,,,,,,,,,,1972-05-31,248.53,,,
1972-04-28,107.67,,,,,,,,,,,,,,1972-04-28,247.19,,,
1972-03-31,107.2,,,,,,,,,,,,,,1972-03-31,249.04,,,
1972-02-29,106.57,,,,,,,,,,,,,,1972-02-29,249.09,,,
1972-01-31,103.94,,,,,,,,,,,,,,,,,,
1971-12-31,102.09,,,,,,,,,,,,,,,,,,
1971-11-30,93.99,,,,,,,,,,,,,,,,,,
1971-10-29,94.23,,,,,,,,,,,,,,,,,,
1971-09-30,98.34,,,,,,,,,,,,,,,,,,
1971-08-31,99.03,,,,,,,,,,,,,,,,,,
1971-07-30,95.58,,,,,,,,,,,,,,,,,,
1971-06-30,99.7,,,,,,,,,,,,,,,,,,
1971-05-31,99.63,,,,,,,,,,,,,,,,,,
1971-04-30,103.95,,,,,,,,,,,,,,,,,,
1971-03-31,100.31,,,,,,,,,,,,,,,,,,
1971-02-26,96.75,,,,,,,,,,,,,,,,,,
1971-01-29,95.88,,,,,,,,,,,,,,,,,,
1970-12-31,92.15,,,,,,,,,,,,,,,,,,
1970-11-30,87.2,,,,,,,,,,,,,,,,,,
1970-10-30,83.25,,,,,,,,,,,,,,,,,,
1970-09-30,84.21,,,,,,,,,,,,,,,,,,
1970-08-31,81.52,,,,,,,,,,,,,,,,,,
1970-07-31,78.05,,,,,,,,,,,,,,,,,,
1970-06-30,72.72,,,,,,,,,,,,,,,,,,
1970-05-29,76.55,,,,,,,,,,,,,,,,,,
1970-04-30,81.52,,,,,,,,,,,,,,,,,,
1970-03-31,89.63,,,,,,,,,,,,,,,,,,
1970-02-27,89.5,,,,,,,,,,,,,,,,,,
1970-01-30,85.02,,,,,,,,,,,,,,,,,,
1969-12-31,92.06,,,,,,,,,,,,,,,,,,
1969-11-28,93.81,,,,,,,,,,,,,,,,,,
1969-10-31,97.24,,,,,,,,,,,,,,,,,,
1969-09-30,93.12,,,,,,,,,,,,,,,,,,
1969-08-29,95.51,,,,,,,,,,,,,,,,,,
1969-07-31,91.83,,,,,,,,,,,,,,,,,,
1969-06-30,97.71,,,,,,,,,,,,,,,,,,
1969-05-30,103.46,,,,,,,,,,,,,,,,,,
1969-04-30,103.69,,,,,,,,,,,,,,,,,,
1969-03-31,101.51,,,,,,,,,,,,,,,,,,
1969-02-28,98.13,,,,,,,,,,,,,,,,,,
1969-01-31,103.01,,,,,,,,,,,,,,,,,,
1968-12-31,103.86,,,,,,,,,,,,,,,,,,
1968-11-29,108.37,,,,,,,,,,,,,,,,,,
1968-10-31,103.41,,,,,,,,,,,,,,,,,,
1968-09-30,102.67,,,,,,,,,,,,,,,,,,
1968-08-30,98.86,,,,,,,,,,,,,,,,,,
1968-07-31,97.74,,,,,,,,,,,,,,,,,,
1968-06-28,99.58,,,,,,,,,,,,,,,,,,
1968-05-31,98.68,,,,,,,,,,,,,,,,,,
1968-04-30,97.59,,,,,,,,,,,,,,,,,,
1968-03-29,90.2,,,,,,,,,,,,,,,,,,
1968-02-29,89.36,,,,,,,,,,,,,,,,,,
1968-01-31,92.24,,,,,,,,,,,,,,,,,,
1967-12-29,96.47,,,,,,,,,,,,,,,,,,
1967-11-30,94,,,,,,,,,,,,,,,,,,
1967-10-31,93.9,,,,,,,,,,,,,,,,,,
1967-09-29,96.71,,,,,,,,,,,,,,,,,,
1967-08-31,93.64,,,,,,,,,,,,,,,,,,
1967-07-31,94.75,,,,,,,,,,,,,,,,,,
1967-06-30,90.64,,,,,,,,,,,,,,,,,,
1967-05-31,89.08,,,,,,,,,,,,,,,,,,
1967-04-28,94.01,,,,,,,,,,,,,,,,,,
1967-03-31,90.2,,,,,,,,,,,,,,,,,,
1967-02-28,86.78,,,,,,,,,,,,,,,,,,
1967-01-31,86.61,,,,,,,,,,,,,,,,,,
1966-12-30,80.33,,,,,,,,,,,,,,,,,,
1966-11-30,80.45,,,,,,,,,,,,,,,,,,
1966-10-31,80.2,,,,,,,,,,,,,,,,,,
1966-09-30,76.56,,,,,,,,,,,,,,,,,,
1966-08-31,77.1,,,,,,,,,,,,,,,,,,
1966-07-29,83.6,,,,,,,,,,,,,,,,,,
1966-06-30,84.74,,,,,,,,,,,,,,,,,,
1966-05-31,86.13,,,,,,,,,,,,,,,,,,
1966-04-29,91.06,,,,,,,,,,,,,,,,,,
1966-03-31,89.23,,,,,,,,,,,,,,,,,,
1966-02-28,91.22,,,,,,,,,,,,,,,,,,
1966-01-31,92.88,,,,,,,,,,,,,,,,,,
1965-12-31,92.43,,,,,,,,,,,,,,,,,,
1965-11-30,91.61,,,,,,,,,,,,,,,,,,
1965-10-29,92.42,,,,,,,,,,,,,,,,,,
1965-09-30,89.96,,,,,,,,,,,,,,,,,,
1965-08-31,87.17,,,,,,,,,,,,,,,,,,
1965-07-30,85.25,,,,,,,,,,,,,,,,,,
1965-06-30,84.12,,,,,,,,,,,,,,,,,,
1965-05-31,88.42,,,,,,,,,,,,,,,,,,
1965-04-30,89.11,,,,,,,,,,,,,,,,,,
1965-03-31,86.16,,,,,,,,,,,,,,,,,,
1965-02-26,87.43,,,,,,,,,,,,,,,,,,
1965-01-29,87.56,,,,,,,,,,,,,,,,,,
1964-12-31,84.75,,,,,,,,,,,,,,,,,,
1964-11-30,84.42,,,,,,,,,,,,,,,,,,
1964-10-30,84.86,,,,,,,,,,,,,,,,,,
1964-09-30,84.18,,,,,,,,,,,,,,,,,,
1964-08-31,81.83,,,,,,,,,,,,,,,,,,
1964-07-31,83.18,,,,,,,,,,,,,,,,,,
1964-06-30,81.69,,,,,,,,,,,,,,,,,,
1964-05-29,80.37,,,,,,,,,,,,,,,,,,
1964-04-30,79.46,,,,,,,,,,,,,,,,,,
1964-03-31,78.98,,,,,,,,,,,,,,,,,,
1964-02-28,77.8,,,,,,,,,,,,,,,,,,
1964-01-31,77.04,,,,,,,,,,,,,,,,,,
1963-12-31,75.02,,,,,,,,,,,,,,,,,,
1963-11-29,73.23,,,,,,,,,,,,,,,,,,
1963-10-31,74.01,,,,,,,,,,,,,,,,,,
1963-09-30,71.7,,,,,,,,,,,,,,,,,,
1963-08-30,72.5,,,,,,,,,,,,,,,,,,
1963-07-31,69.13,,,,,,,,,,,,,,,,,,
1963-06-28,69.37,,,,,,,,,,,,,,,,,,
1963-05-31,70.8,,,,,,,,,,,,,,,,,,
1963-04-30,69.8,,,,,,,,,,,,,,,,,,
1963-03-29,66.57,,,,,,,,,,,,,,,,,,
1963-02-28,64.29,,,,,,,,,,,,,,,,,,
1963-01-31,66.2,,,,,,,,,,,,,,,,,,
1962-12-31,63.1,,,,,,,,,,,,,,,,,,
1962-11-30,62.26,,,,,,,,,,,,,,,,,,
1962-10-31,56.52,,,,,,,,,,,,,,,,,,
1962-09-28,56.27,,,,,,,,,,,,,,,,,,
1962-08-31,59.12,,,,,,,,,,,,,,,,,,
1962-07-31,58.23,,,,,,,,,,,,,,,,,,
1962-06-29,54.75,,,,,,,,,,,,,,,,,,
1962-05-31,59.63,,,,,,,,,,,,,,,,,,
1962-04-30,65.24,,,,,,,,,,,,,,,,,,
1962-03-30,69.55,,,,,,,,,,,,,,,,,,
1962-02-28,69.96,,,,,,,,,,,,,,,,,,
1962-01-31,68.84,,,,,,,,,,,,,,,,,,
1961-12-29,71.55,,,,,,,,,,,,,,,,,,
1961-11-30,71.32,,,,,,,,,,,,,,,,,,
1961-10-31,68.62,,,,,,,,,,,,,,,,,,
1961-09-29,66.73,,,,,,,,,,,,,,,,,,
1961-08-31,68.07,,,,,,,,,,,,,,,,,,
1961-07-31,66.76,,,,,,,,,,,,,,,,,,
1961-06-30,64.64,,,,,,,,,,,,,,,,,,
1961-05-31,66.56,,,,,,,,,,,,,,,,,,
1961-04-28,65.31,,,,,,,,,,,,,,,,,,
1961-03-31,65.06,,,,,,,,,,,,,,,,,,
1961-02-28,63.44,,,,,,,,,,,,,,,,,,
1961-01-31,61.78,,,,,,,,,,,,,,,,,,
1960-12-30,58.11,,,,,,,,,,,,,,,,,,
1960-11-30,55.54,,,,,,,,,,,,,,,,,,
1960-10-31,53.39,,,,,,,,,,,,,,,,,,
1960-09-30,53.52,,,,,,,,,,,,,,,,,,
1960-08-31,56.96,,,,,,,,,,,,,,,,,,
1960-07-29,55.51,,,,,,,,,,,,,,,,,,
1960-06-30,56.92,,,,,,,,,,,,,,,,,,
1960-05-31,55.83,,,,,,,,,,,,,,,,,,
1960-04-29,54.37,,,,,,,,,,,,,,,,,,
1960-03-31,55.34,,,,,,,,,,,,,,,,,,
1960-02-29,56.12,,,,,,,,,,,,,,,,,,
1960-01-29,55.61,,,,,,,,,,,,,,,,,,
1959-12-31,59.89,,,,,,,,,,,,,,,,,,
1959-11-30,58.28,,,,,,,,,,,,,,,,,,
1959-10-30,57.52,,,,,,,,,,,,,,,,,,
1959-09-30,56.88,,,,,,,,,,,,,,,,,,
1959-08-31,59.6,,,,,,,,,,,,,,,,,,
1959-07-31,60.51,,,,,,,,,,,,,,,,,,
1959-06-30,58.47,,,,,,,,,,,,,,,,,,
1959-05-29,58.68,,,,,,,,,,,,,,,,,,
1959-04-30,57.59,,,,,,,,,,,,,,,,,,
1959-03-31,55.44,,,,,,,,,,,,,,,,,,
1959-02-27,55.41,,,,,,,,,,,,,,,,,,
1959-01-30,55.42,,,,,,,,,,,,,,,,,,
1958-12-31,55.21,,,,,,,,,,,,,,,,,,
1958-11-28,52.48,,,,,,,,,,,,,,,,,,
1958-10-31,51.33,,,,,,,,,,,,,,,,,,
