,S&P500,,,S&P500 Growth,,,S&P500 Value,,,S&P500 Momentum,,,S&P500 Quality,,,S&P500 Low Volatiltiy Index,,,S&P500 Div Aristocrt TR Index
티커,SPX Index,,,SGX Index,,,SVX Index,,,SP500MUN Index,,,SPXQUN Index,,,SP5LVI Index,,,SPDAUDT Index
,,,,,,,,,,,,,,,,,,,
Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가
2019-10-31,3037.56,,2019-10-31,1839.30396,,2019-10-31,1206.26794,,2019-10-31,346.591,,2019-10-31,560.09,,2019-10-31,9261.71,,2019-10-31,2920.00244
2019-09-30,2976.74,,2019-09-30,1809.42297,,2019-09-30,1176.91895,,2019-09-30,347.117,,2019-09-30,546.672,,2019-09-30,9305.78,,2019-09-30,2883.29297
2019-08-30,2926.46,,2019-08-30,1806.25696,,2019-08-30,1136.72498,,2019-08-30,346.044,,2019-08-30,537.24,,2019-08-30,9130.33,,2019-08-30,2788.26611
2019-07-31,2980.38,,2019-07-31,1822.41394,,2019-07-31,1170.34802,,2019-07-31,347.832,,2019-07-31,543.935,,2019-07-31,8936.14,,2019-07-31,2804.69678
2019-06-28,2941.76,,2019-06-28,1803.31494,,2019-06-28,1151.85901,,2019-06-28,345.111,,2019-06-28,538.3,,2019-06-28,8851.23,,2019-06-28,2779.13892
2019-05-31,2752.06,,2019-05-31,1700.33997,,2019-05-31,1067.76599,,2019-05-31,328.823,,2019-05-31,503.731,,2019-05-31,8553.9,,2019-05-31,2593.27295
2019-04-30,2945.83,,2019-04-30,1798.61804,,2019-04-30,1158.71301,,2019-04-30,337.59,,2019-04-30,538.991,,2019-04-30,8658.18,,2019-04-30,2744.71191
2019-03-29,2834.4,,2019-03-29,1731.25195,,2019-03-29,1114.38403,,2019-03-29,334.204,,2019-03-29,520.71,,2019-03-29,8467.75,,2019-03-29,2696.20801
2019-02-28,2784.49,,2019-02-28,1687.12305,,2019-02-28,1104.80298,,2019-02-28,325.073,,2019-02-28,505.55,,2019-02-28,8299.19,,2019-02-28,2647.49609
2019-01-31,2704.1,,2019-01-31,1623.776,,2019-01-31,1083.65295,,2019-01-31,312.871,,2019-01-31,481.765,,2019-01-31,7992.21,,2019-01-31,2527.21802
2018-12-31,2506.85,,2018-12-31,1512.01599,,2018-12-31,999.69928,,2018-12-31,286.903,,2018-12-31,449.528,,2018-12-31,7503.26,,2018-12-31,2397.04297
2018-11-30,2760.17,,2018-11-30,1656.53455,,2018-11-30,1106.78406,,2018-11-30,314.285,,2018-11-30,490.29,,2018-11-30,8085.56,,2018-11-30,2604.08691
2018-10-31,2711.74,,2018-10-31,1634.69104,,2018-10-31,1081.72803,,2018-10-31,309.217,,2018-10-31,490.729,,2018-10-31,7732.23,,2018-10-31,2481.01245
2018-09-28,2913.98,,2018-09-28,1779.51538,,2018-09-28,1144.5033,,2018-09-28,343.28,,2018-09-28,528.077,,2018-09-28,7968.64,,2018-09-28,2623.34009
2018-08-31,2901.52,,2018-08-31,1768.39001,,2018-08-31,1142.34204,,2018-08-31,338.498,,2018-08-31,518.725,,2018-08-31,8017.75,,2018-08-31,2598.57788
2018-07-31,2816.29,,2018-07-31,1688.81604,,2018-07-31,1130.36304,,2018-07-31,324.544,,2018-07-31,496.632,,2018-07-31,7894.4,,2018-07-31,2552.01294
2018-06-29,2718.37,,2018-06-29,1633.76025,,2018-06-29,1088.2124,,2018-06-29,313.01,,2018-06-29,481.219,,2018-06-29,7632.56,,2018-06-29,2431.06909
2018-05-31,2705.27,,2018-05-31,1625.51294,,2018-05-31,1083.22595,,2018-05-31,312.7,,2018-05-31,482.829,,2018-05-31,7542.68,,2018-05-31,2410.28809
2018-04-30,2648.05,,2018-04-30,1560.92798,,2018-04-30,1083.75598,,2018-04-30,301.391,,2018-04-30,471.887,,2018-04-30,7509.39,,2018-04-30,2387.24902
2018-03-30,2640.87,,2018-03-30,1557.68396,,2018-03-30,1080.05298,,2018-03-30,297.538,,2018-03-30,477.136,,2018-03-30,7559.98,,2018-03-30,2408.93506
2018-02-28,2713.83,,2018-02-28,1607.375,,2018-02-28,1104.70605,,2018-02-28,308.947,,2018-02-28,489.259,,2018-02-28,7514.95,,2018-02-28,2431.23804
2018-01-31,2823.81,,2018-01-31,1643.26697,,2018-01-31,1172.00403,,2018-01-31,311.701,,2018-01-31,508.27,,2018-01-31,7866.27,,2018-01-31,2559.36401
2017-12-29,2673.61,,2017-12-29,1533.38098,,2017-12-29,1126.98206,,2017-12-29,288.05,,2017-12-29,484.961,,2017-12-29,7668.59,,2017-12-29,2464.25293
2017-11-30,2647.58,,2017-11-30,1526.07495,,2017-11-30,1110.20203,,2017-11-30,286.353,,2017-11-30,478.964,,2017-11-30,7770.23,,2017-11-30,2414.58496
2017-10-31,2575.26,,2017-10-31,1487.34497,,2017-10-31,1077.13501,,2017-10-31,279.96,,2017-10-31,462.397,,2017-10-31,7501.7,,2017-10-31,2308.10303
2017-09-29,2519.36,,2017-09-29,1441.36597,,2017-09-29,1066.45801,,2017-09-29,264.263,,2017-09-29,457.015,,2017-09-29,7369,,2017-09-29,2275.21509
2017-08-31,2471.65,,2017-08-31,1427.15002,,2017-08-31,1034.13196,,2017-08-31,256.955,,2017-08-31,444.5,,2017-08-31,7325.8,,2017-08-31,2206.95093
2017-07-31,2470.3,,2017-07-31,1409.14795,,2017-07-31,1049.58801,,2017-07-31,255.765,,2017-07-31,445.552,,2017-07-31,7281.4,,2017-07-31,2220.30908
2017-06-30,2423.41,,2017-06-30,1374.36902,,2017-06-30,1037.13403,,2017-06-30,248.718,,2017-06-30,440.961,,2017-06-30,7191.32,,2017-06-30,2195.87891
2017-05-31,2411.8,,2017-05-31,1381.64294,,2017-05-31,1019.34998,,2017-05-31,244.792,,2017-05-31,440.574,,2017-05-31,7231.73,,2017-05-31,2175.19189
2017-04-28,2384.2,,2017-04-28,1346.396,,2017-04-28,1025.64197,,2017-04-28,240.487,,2017-04-28,434.571,,2017-04-28,7058.12,,2017-04-28,2159.31006
2017-03-31,2362.72,,2017-03-31,1321.83704,,2017-03-31,1027.88306,,2017-03-31,238.492,,2017-03-31,430.422,,2017-03-31,6990.1,,2017-03-31,2126.21289
2017-02-28,2363.64,,2017-02-28,1307.26099,,2017-02-28,1042.16602,,2017-02-28,238.231,,2017-02-28,429.729,,2017-02-28,7012.74,,2017-02-28,2121.38501
2017-01-31,2278.87,,2017-01-31,1258.71106,,2017-01-31,1006.32098,,2017-01-31,230.056,,2017-01-31,414.618,,2017-01-31,6726.07,,2017-01-31,2044.58496
2016-12-30,2238.83,,2016-12-30,1223.021,,2016-12-30,1001.12299,,2016-12-30,225.781,,2016-12-30,408.496,,2016-12-30,6684.3,,2016-12-30,2024.37598
2016-11-30,2198.81,,2016-11-30,1207.52905,,2016-11-30,977.95453,,2016-11-30,218.838,,2016-11-30,401.008,,2016-11-30,6534.9,,2016-11-30,2003.83105
2016-10-31,2126.15,,2016-10-31,1195.68994,,2016-10-31,923.03998,,2016-10-31,220.523,,2016-10-31,386.901,,2016-10-31,6517.27,,2016-10-31,1935.70496
2016-09-30,2168.27,,2016-09-30,1222.52502,,2016-09-30,938.79688,,2016-09-30,225.175,,2016-09-30,393.231,,2016-09-30,6676.69,,2016-09-30,2028.67004
2016-08-31,2170.95,,2016-08-31,1219.16003,,2016-08-31,943.84003,,2016-08-31,225.378,,2016-08-31,396.969,,2016-08-31,6758.87,,2016-08-31,2056.61011
2016-07-29,2173.6,,2016-07-29,1225.23999,,2016-07-29,941.35999,,2016-07-29,225.979,,2016-07-29,398.487,,2016-07-29,6903.06,,2016-07-29,2066.48291
2016-06-30,2098.86,,2016-06-30,1171.76001,,2016-06-30,917.9566,,2016-06-30,217.908,,2016-06-30,386.89,,2016-06-30,6887.84,,2016-06-30,2019.01001
2016-05-31,2096.96,,2016-05-31,1177.70996,,2016-05-31,911.57001,,2016-05-31,216.2,,2016-05-31,385.898,,2016-05-31,6532.89,,2016-05-31,1962.94995
2016-04-29,2065.3,,2016-04-29,1149.32996,,2016-04-29,906.23999,,2016-04-29,210.362,,2016-04-29,383.374,,2016-04-29,6437.61,,2016-04-29,1947.43201
2016-03-31,2059.74,,2016-03-31,1164.93994,,2016-03-31,888.95001,,2016-03-31,213.709,,2016-03-31,381.732,,2016-03-31,6490.89,,2016-03-31,1931.75
2016-02-29,1932.23,,2016-02-29,1093.22998,,2016-02-29,833.62,,2016-02-29,203.514,,2016-02-29,360.932,,2016-02-29,6141.61,,2016-02-29,1806.85999
2016-01-29,1940.24,,2016-01-29,1104.33301,,2016-01-29,831.90369,,2016-01-29,204.613,,2016-01-29,357.582,,2016-01-29,6091.86,,2016-01-29,1772.51001
2015-12-31,2043.94,,2015-12-31,1163.69995,,2015-12-31,876.09003,,2015-12-31,214.858,,2015-12-31,375.564,,2015-12-31,6208.1,,2015-12-31,1810.22998
2015-11-30,2080.41,,2015-11-30,1183.44995,,2015-11-30,892.92999,,2015-11-30,214.752,,2015-11-30,383.047,,2015-11-30,6230.28,,2015-11-30,1825.96997
2015-10-30,2079.36,,2015-10-30,1184.51001,,2015-10-30,891.01001,,2015-10-30,214.133,,2015-10-30,381.825,,2015-10-30,6174.94,,2015-10-30,1817.89001
2015-09-30,1920.03,,2015-09-30,1083.67004,,2015-09-30,831.71002,,2015-09-30,198.413,,2015-09-30,352.48,,2015-09-30,5789.23,,2015-09-30,1693.72998
2015-08-31,1972.18,,2015-08-31,1109.72998,,2015-08-31,857.31,,2015-08-31,201.039,,2015-08-31,361.213,,2015-08-31,5828.69,,2015-08-31,1735.62
2015-07-31,2103.84,,2015-07-31,1183.93994,,2015-07-31,914.40997,,2015-07-31,212.124,,2015-07-31,385.941,,2015-07-31,6141.24,,2015-07-31,1824.89099
2015-06-30,2063.11,,2015-06-30,1143.55603,,2015-06-30,912.40118,,2015-06-30,204.183,,2015-06-30,380.373,,2015-06-30,5893.61,,2015-06-30,1782.60999
2015-05-29,2107.39,,2015-05-29,1167.62,,2015-05-29,932.40997,,2015-05-29,210.862,,2015-05-29,387.99,,2015-05-29,6015.63,,2015-05-29,1814.67004
2015-04-30,2085.51,,2015-04-30,1149.31995,,2015-04-30,928.27002,,2015-04-30,204.718,,2015-04-30,380.831,,2015-04-30,5974.04,,2015-04-30,1790.88
2015-03-31,2067.89,,2015-03-31,1144.68994,,2015-03-31,915.87,,2015-03-31,210.96,,2015-03-31,382.311,,2015-03-31,6103.08,,2015-03-31,1806.32996
2015-02-27,2104.5,,2015-02-27,1165.83997,,2015-02-27,931.28003,,2015-02-27,213.729,,2015-02-27,388.331,,2015-02-27,6141.1,,2015-02-27,1827.54004
2015-01-30,1994.99,,2015-01-30,1102.13,,2015-01-30,885.53003,,2015-01-30,200.681,,2015-01-30,366.659,,2015-01-30,6066.28,,2015-01-30,1744.46899
